timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739580025264,38,Add Book POST-0,302,,MainThreadGroup 1-78,,true,,186,264,38,38,http://192.168.1.107:8080/books/add,38,0,0
1739580025303,25,Add Book POST-1,200,,MainThreadGroup 1-78,text,true,,45756,125,38,38,http://192.168.1.107:8080/books,21,0,0
1739580025327,7,Show Add Form,200,,MainThreadGroup 1-83,text,true,,842,129,38,38,http://192.168.1.107:8080/books/add,6,0,0
1739580025285,55,Update Book,200,,MainThreadGroup 1-60,text,true,,45942,399,38,38,http://192.168.1.107:8080/books,33,0,0
1739580025285,33,Update Book-0,302,,MainThreadGroup 1-60,,true,,186,274,38,38,http://192.168.1.107:8080/books/update/264,33,0,0
1739580025318,22,Update Book-1,200,,MainThreadGroup 1-60,text,true,,45756,125,38,38,http://192.168.1.107:8080/books,17,0,0
1739580025285,57,Delete Book,200,,MainThreadGroup 1-53,text,true,,45942,261,38,38,http://192.168.1.107:8080/books,27,0,0
1739580025285,27,Delete Book-0,302,,MainThreadGroup 1-53,,true,,186,136,38,38,http://192.168.1.107:8080/books/delete/259,27,0,0
1739580025312,30,Delete Book-1,200,,MainThreadGroup 1-53,text,true,,45756,125,38,38,http://192.168.1.107:8080/books,27,0,0
1739580025348,1,Debug Sampler,200,OK,MainThreadGroup 1-70,text,true,,515,0,37,37,null,0,0,0
1739580025353,2,JDBC Request,200,OK,MainThreadGroup 1-74,text,true,,7,0,37,37,null,2,0,0
1739580025329,32,Show List Form,200,,MainThreadGroup 1-88,text,true,,45756,185,38,38,http://192.168.1.107:8080/books,27,0,1
1739580025367,14,Show Edit Form,200,,MainThreadGroup 1-66,text,true,,900,134,38,38,http://192.168.1.107:8080/books/edit/270,14,0,0
1739580025327,58,Delete Book,200,,MainThreadGroup 1-56,text,true,,45676,261,38,38,http://192.168.1.107:8080/books,28,0,0
1739580025327,28,Delete Book-0,302,,MainThreadGroup 1-56,,true,,186,136,38,38,http://192.168.1.107:8080/books/delete/260,28,0,0
1739580025355,30,Delete Book-1,200,,MainThreadGroup 1-56,text,true,,45490,125,38,38,http://192.168.1.107:8080/books,26,0,0
1739580025390,5,Show Add Form,200,,MainThreadGroup 1-84,text,true,,842,129,37,37,http://192.168.1.107:8080/books/add,5,0,0
1739580025344,56,Update Book,200,,MainThreadGroup 1-61,text,true,,45942,399,37,37,http://192.168.1.107:8080/books,42,0,0
1739580025344,42,Update Book-0,302,,MainThreadGroup 1-61,,true,,186,274,37,37,http://192.168.1.107:8080/books/update/265,42,0,0
1739580025386,14,Update Book-1,200,,MainThreadGroup 1-61,text,true,,45756,125,37,37,http://192.168.1.107:8080/books,11,0,0
1739580025345,58,Add Book POST,200,,MainThreadGroup 1-79,text,true,,45942,389,37,37,http://192.168.1.107:8080/books,40,0,0
1739580025345,40,Add Book POST-0,302,,MainThreadGroup 1-79,,true,,186,264,37,37,http://192.168.1.107:8080/books/add,40,0,0
1739580025385,18,Add Book POST-1,200,,MainThreadGroup 1-79,text,true,,45756,125,37,37,http://192.168.1.107:8080/books,14,0,0
1739580025404,2,JDBC Request,200,OK,MainThreadGroup 1-75,text,true,,7,0,37,37,null,2,0,0
1739580025408,14,Show List Form,200,,MainThreadGroup 1-89,text,true,,45756,185,37,37,http://192.168.1.107:8080/books,11,0,0
1739580025457,1,Debug Sampler,200,OK,MainThreadGroup 1-71,text,true,,515,0,38,38,null,0,0,0
1739580025436,36,Add Book POST,200,,MainThreadGroup 1-80,text,true,,46201,389,38,38,http://192.168.1.107:8080/books,19,0,0
1739580025436,19,Add Book POST-0,302,,MainThreadGroup 1-80,,true,,186,264,38,38,http://192.168.1.107:8080/books/add,19,0,0
1739580025456,16,Add Book POST-1,200,,MainThreadGroup 1-80,text,true,,46015,125,38,38,http://192.168.1.107:8080/books,12,0,0
1739580025492,4,Show Add Form,200,,MainThreadGroup 1-85,text,true,,842,129,38,38,http://192.168.1.107:8080/books/add,4,0,0
1739580025465,33,Update Book,200,,MainThreadGroup 1-62,text,true,,46208,399,38,38,http://192.168.1.107:8080/books,17,0,0
